https://38.media.tumblr.com/9e437d26769cb2ac4217df14dbb20034/tumblr_npw7v7W07C1tmj047o1_250.gif,<start> someone puts a cat on wrapping paper then wraps it up and puts on a bow <end>,tumblr_npw7v7W07C1tmj047o1_250
https://38.media.tumblr.com/9f83754d20ce882224ae3392a8372ee8/tumblr_mkwd0y8Poo1qlnbq8o1_400.gif,<start> a group of men are standing and staring in the same direction. <end>,tumblr_mkwd0y8Poo1qlnbq8o1_400
https://38.media.tumblr.com/881302bfd0245614cb165636887cfed6/tumblr_noncfelojf1uqmy01o1_500.gif,"<start> a man winks, and a man with a fork motions him to be quiet. <end>",tumblr_noncfelojf1uqmy01o1_500
https://38.media.tumblr.com/9ecd3483028290171dcb5e920ff4e3bb/tumblr_nkcmeflaVj1u26rdio1_500.gif,<start> a man on a bicycle is jumping over a fence. <end>,tumblr_nkcmeflaVj1u26rdio1_500
https://38.media.tumblr.com/9f6c25cc350f12aa74a7dc386a5c4985/tumblr_mevmyaKtDf1rgvhr8o1_500.gif,"<start> a man is glaring, and someone with sunglasses appears. <end>",tumblr_mevmyaKtDf1rgvhr8o1_500
https://38.media.tumblr.com/9f659499c8754e40cf3f7ac21d08dae6/tumblr_nqlr0rn8ox1r2r0koo1_400.gif,<start> an animal comes close to another in the jungle <end>,tumblr_nqlr0rn8ox1r2r0koo1_400
https://38.media.tumblr.com/9ead028ef62004ef6ac2b92e52edd210/tumblr_nok4eeONTv1s2yegdo1_400.gif,<start> a cat tries to catch a mouse on a tablet <end>,tumblr_nok4eeONTv1s2yegdo1_400
https://38.media.tumblr.com/88de8efed91578715420f8a93c5e3da6/tumblr_nq3ofebQo51s4vpwjo1_500.gif,"<start> a beatles show, paul is on the front singing very enthusiastically <end>",tumblr_nq3ofebQo51s4vpwjo1_500
https://38.media.tumblr.com/9f4cb2977d5cd905f57293ac506b9db8/tumblr_msij5q4Run1qd76t9o1_500.gif,<start> a man with black clothes is dancing sexy <end>,tumblr_msij5q4Run1qd76t9o1_500
https://38.media.tumblr.com/9ed1c99afa7d71411884101cb054f35f/tumblr_mvtuwlhSkE1qbnleeo1_500.gif,<start> a man in a hat adjusts his tie and makes a weird face. <end>,tumblr_mvtuwlhSkE1qbnleeo1_500
https://38.media.tumblr.com/9e4ab65c0e7d4bb8aa6b5be854b83794/tumblr_mdlv9v6hE91qanrf2o1_r11_500.gif,<start> a brunette woman is looking at the man <end>,tumblr_mdlv9v6hE91qanrf2o1_r11_500
https://38.media.tumblr.com/9f43dc410be85b1159d1f42663d811d7/tumblr_mllh01J96X1s9npefo1_250.gif,<start> a man dressed in red is dancing. <end>,tumblr_mllh01J96X1s9npefo1_250
https://38.media.tumblr.com/8952c98f05a5f01377ac98c041cfe63e/tumblr_nqofwqgS8d1siem3jo1_r1_400.gif,<start> a sport car is swinging on the race playground <end>,tumblr_nqofwqgS8d1siem3jo1_r1_400
https://38.media.tumblr.com/886236e83a1a1b6ae9f4dc43509f2fe6/tumblr_nov5tja4g91rkmzrjo1_400.gif,<start> a man walks into a room and sees a girl floating above the bed <end>,tumblr_nov5tja4g91rkmzrjo1_400
https://38.media.tumblr.com/9e6fcb37722bf01996209bdf76708559/tumblr_np9xo74UgD1ux4g5vo1_250.gif,<start> a boy is happy parking and see another boy <end>,tumblr_np9xo74UgD1ux4g5vo1_250
https://38.media.tumblr.com/88817768f0c3b54c7a1b58908037ca1f/tumblr_nq7f66LEk41tzifluo1_400.gif,<start> the vehicle is moving fast into the tunnel <end>,tumblr_nq7f66LEk41tzifluo1_400
https://38.media.tumblr.com/881416379772a539d5bb311c5bab9cd9/tumblr_nmzcu205yo1qdj2qoo1_500.gif,"<start> a woman is laughing and holding a man, the man is not laughing <end>",tumblr_nmzcu205yo1qdj2qoo1_500
https://38.media.tumblr.com/8911141195ce21e492761edba81ef309/tumblr_n4hv5jJDcS1t96jpzo1_500.gif,<start> a gloved hand opens to reveal a golden ring. <end>,tumblr_n4hv5jJDcS1t96jpzo1_500
https://38.media.tumblr.com/88091baac04b18ef73d93e56883dccfe/tumblr_npzfsr13I51uyqfd5o1_500.gif,<start> a skate boarder is doing trick on his skate board. <end>,tumblr_npzfsr13I51uyqfd5o1_500
https://38.media.tumblr.com/88bd6013c943b41c93f685e0577b451c/tumblr_noxbsuCyAg1tjhed2o1_500.gif,<start> a man with lights on his jacket watching a large screen tv <end>,tumblr_noxbsuCyAg1tjhed2o1_500
https://38.media.tumblr.com/89160d6633d04d4a9c8e7c8085f1c74d/tumblr_nqmgdj8STn1rn1g1jo1_250.gif,<start> young man is clapping with his hand and dancing <end>,tumblr_nqmgdj8STn1rn1g1jo1_250
https://38.media.tumblr.com/8852d21ad80d138416453eb968ee97bc/tumblr_npntschfQp1qf69tyo1_500.gif,<start> a guy are kissing a girl slowly in a swimming pool. <end>,tumblr_npntschfQp1qf69tyo1_500
https://38.media.tumblr.com/88976e0d8b0e068ebdb114ad9226b66a/tumblr_nmp0m0o3Iv1r44r7zo1_500.gif,<start> the clouds are moving next to the full moon <end>,tumblr_nmp0m0o3Iv1r44r7zo1_500
https://38.media.tumblr.com/90a1a65d2e1608451e84e2fe4bd16d04/tumblr_npse2pIimv1tyncywo1_400.gif,<start> a wet cat in the bathtub tries to get out. <end>,tumblr_npse2pIimv1tyncywo1_400
https://38.media.tumblr.com/8f8d0f7a02f4ade5527ffd63ee9883fd/tumblr_np2k4xqcDt1s9b6vho1_500.gif,<start> a drummer is beating the drum with lightening fast speed. <end>,tumblr_np2k4xqcDt1s9b6vho1_500
